elevation_m,slope_deg,annual_rainfall_mm,soil_moisture_index,land_use,geology,distance_to_stream_m,lineament_density_index,groundwater_depth_m,recharge_suitability
304.3,16.8,764,0.53,agriculture,fractured_rock,1416,0.27,13.8,44.8
1194.2,20.9,2221,0.77,barren,fractured_rock,1021,0.29,8.9,57.0
992.1,27.1,2823,0.86,agroforestry,clay,1115,0.74,16.8,65.3
622.4,24.0,1001,0.36,grassland,fractured_rock,206,0.7,23.5,46.6
515.7,14.0,734,0.28,agriculture,shale,196,0.18,21.5,35.5
286.8,3.9,539,0.27,agroforestry,shale,1332,0.56,25.4,54.7
538.7,9.5,1393,0.35,agriculture,clay,384,0.83,16.2,59.1
624.1,11.7,1319,0.73,agroforestry,weathered_granite,466,0.91,19.9,63.9
666.6,17.1,654,0.3,agriculture,clay,1312,0.28,22.5,32.4
704.8,10.3,2297,0.85,grassland,shale,37,0.21,5.8,68.1
546.1,15.5,924,0.34,settlement,clay,1237,0.75,14.8,35.1
626.7,28.0,1202,0.77,agriculture,shale,802,0.68,13.1,51.0
1206.7,26.6,1835,0.91,forest,weathered_granite,668,0.68,3.7,73.2
439.1,5.7,678,0.41,agroforestry,fractured_rock,141,0.79,20.6,60.8
603.0,6.0,1084,0.48,agroforestry,shale,880,0.85,11.9,65.9
546.6,20.9,894,0.55,agriculture,sandstone,518,0.18,28.8,33.1
1398.3,12.5,1970,0.89,forest,fractured_rock,272,0.93,17.9,84.0
596.9,10.6,1123,0.73,forest,fractured_rock,28,0.62,19.0,65.7
1259.4,20.8,2315,0.72,forest,weathered_granite,403,0.54,16.1,73.5
639.1,7.7,1062,0.35,forest,shale,1369,0.58,11.6,45.2
462.1,22.8,1280,0.47,barren,clay,252,0.73,24.2,54.6
971.4,26.8,1849,0.93,agriculture,weathered_granite,918,0.64,9.7,65.0
961.2,28.5,2860,0.71,forest,fractured_rock,597,0.43,9.3,64.3
484.2,11.6,1100,0.34,forest,fractured_rock,240,0.64,23.6,61.6
401.7,14.6,832,0.31,forest,sandstone,1412,0.68,11.6,45.2
553.7,17.1,853,0.46,agroforestry,sandstone,201,0.62,22.3,48.7
823.7,28.8,2994,0.86,forest,fractured_rock,491,0.21,12.5,64.6
1287.8,33.5,2200,0.88,grassland,fractured_rock,121,0.84,19.5,70.9
1328.1,31.1,2234,0.82,agriculture,shale,210,0.55,11.4,56.9
408.9,18.7,960,0.4,agroforestry,sandstone,670,0.6,36.5,46.0
478.0,21.1,750,0.27,agriculture,weathered_granite,1206,0.08,22.5,35.6
361.1,7.4,415,0.26,agriculture,sandstone,643,0.42,26.2,37.8
690.2,13.1,2288,0.83,agroforestry,weathered_granite,749,0.95,17.5,67.4
417.2,9.7,1112,0.31,grassland,weathered_granite,342,0.52,9.7,65.3
607.1,18.4,2264,0.79,grassland,weathered_granite,1175,0.9,4.1,69.7
788.1,21.2,1236,0.89,forest,clay,137,0.95,17.7,66.2
654.0,23.3,2064,0.82,forest,clay,427,0.57,9.9,57.4
920.2,23.3,2561,0.86,barren,weathered_granite,741,0.15,16.4,56.6
1247.1,14.2,1875,0.77,settlement,fractured_rock,1488,0.57,15.2,70.5
412.2,19.2,1184,0.68,agroforestry,sandstone,1425,0.55,23.3,60.3
604.8,21.6,772,0.48,forest,fractured_rock,110,0.39,27.3,51.7
379.3,21.9,1077,0.75,agroforestry,sandstone,1071,0.92,27.9,58.5
883.7,23.0,1984,0.74,forest,weathered_granite,602,0.34,11.1,63.1
564.7,19.3,1115,0.34,agriculture,fractured_rock,1369,0.25,12.5,48.3
614.9,6.0,902,0.68,agroforestry,shale,1328,0.44,35.7,47.6
531.8,16.8,973,0.34,agriculture,fractured_rock,632,0.41,31.7,51.7
382.4,15.4,696,0.32,barren,shale,1483,0.8,31.9,37.4
1109.6,16.0,2010,0.81,settlement,weathered_granite,728,0.84,8.4,71.4
543.3,17.0,811,0.35,agriculture,weathered_granite,911,0.91,22.4,41.3
475.1,9.2,728,0.24,settlement,shale,1130,0.45,18.9,35.1
295.5,8.1,488,0.17,barren,clay,748,0.92,37.3,37.6
388.9,15.1,677,0.38,agriculture,shale,1136,0.22,27.3,33.7
670.7,11.9,1377,0.31,agroforestry,sandstone,210,0.51,11.5,65.0
608.5,33.5,1710,0.77,forest,fractured_rock,543,0.39,11.9,72.8
762.7,31.2,2516,0.92,agriculture,fractured_rock,866,0.45,19.1,63.4
434.6,3.9,483,0.26,agriculture,clay,1077,0.58,40.7,42.6
762.4,22.6,1379,0.78,grassland,clay,116,0.12,29.7,54.8
612.7,9.9,1254,0.31,agroforestry,shale,528,0.42,7.8,55.6
478.2,5.4,1209,0.68,agriculture,clay,957,0.78,13.2,56.8
320.8,11.1,615,0.37,agriculture,weathered_granite,618,0.06,27.8,39.8
973.7,8.3,2262,0.82,agroforestry,weathered_granite,962,0.64,15.5,78.3
867.8,20.0,1865,0.81,agroforestry,weathered_granite,529,0.51,11.2,62.8
1231.8,15.3,1839,0.71,forest,weathered_granite,536,0.79,9.5,79.6
339.3,11.5,1279,0.3,agriculture,clay,1374,0.43,27.4,44.6
388.6,6.6,699,0.43,barren,weathered_granite,598,0.4,36.8,42.5
279.7,2.0,533,0.4,barren,weathered_granite,93,0.36,31.1,51.0
647.7,16.5,806,0.34,settlement,clay,1039,0.28,16.7,30.5
383.5,9.9,1109,0.61,agroforestry,weathered_granite,1051,0.92,27.2,68.1
768.4,9.1,2361,0.7,forest,sandstone,764,0.54,11.2,80.7
671.3,13.7,697,0.56,forest,fractured_rock,159,0.45,34.0,46.7
1072.2,17.5,2215,0.95,agriculture,weathered_granite,1265,0.8,15.6,71.9
385.5,12.4,967,0.69,agriculture,sandstone,389,0.21,20.2,52.7
509.2,14.4,962,0.81,agriculture,shale,873,0.67,36.7,45.7
764.5,7.7,1045,0.4,forest,shale,751,0.78,24.5,53.1
860.0,23.7,2202,0.93,agroforestry,weathered_granite,1022,0.87,14.3,75.9
567.1,9.0,720,0.45,agroforestry,sandstone,28,0.46,20.5,63.0
324.5,9.1,863,0.4,agriculture,shale,1369,0.37,21.4,38.2
441.9,3.5,647,0.44,barren,shale,899,0.31,48.1,32.4
553.3,19.0,1331,0.33,settlement,shale,1348,0.18,13.6,37.3
647.9,15.4,782,0.6,grassland,sandstone,997,0.84,35.6,48.5
1349.7,29.8,1970,0.87,agroforestry,weathered_granite,865,0.43,19.1,64.1
578.4,5.5,1177,0.54,forest,sandstone,1407,0.5,21.5,65.5
375.8,17.1,687,0.61,grassland,fractured_rock,1187,0.24,12.6,42.0
381.0,23.4,1299,0.61,forest,shale,276,0.07,22.5,52.0
622.9,8.5,1441,0.76,forest,shale,1421,0.32,16.6,59.2
299.2,5.5,517,0.27,barren,shale,84,0.54,46.2,47.0
608.5,24.9,1333,0.74,agriculture,weathered_granite,366,0.28,13.9,54.7
377.2,8.7,830,0.42,agroforestry,shale,374,0.16,16.4,47.1
584.6,9.6,720,0.44,agroforestry,weathered_granite,1195,0.32,24.5,46.2
270.7,7.1,601,0.3,agriculture,clay,502,0.89,39.2,39.1
831.8,9.5,1242,0.37,agriculture,shale,1300,0.52,24.7,51.7
297.5,2.8,640,0.25,agriculture,clay,298,0.67,44.9,34.8
596.1,21.0,907,0.27,grassland,clay,1268,0.76,30.1,43.8
516.3,24.4,1057,0.53,forest,shale,1072,0.94,24.1,49.1
285.2,6.9,426,0.31,settlement,sandstone,409,0.58,29.6,44.6
1083.6,16.6,2630,0.72,forest,sandstone,1402,0.27,8.3,64.2
463.2,6.6,774,0.69,agriculture,fractured_rock,1091,0.42,23.9,50.6
618.3,26.7,1852,0.89,agriculture,weathered_granite,336,0.21,13.6,65.1
342.5,17.7,771,0.58,agriculture,fractured_rock,784,0.65,10.1,49.0
486.4,14.1,795,0.21,grassland,weathered_granite,592,0.21,11.8,37.6
567.4,16.5,1437,0.67,agriculture,fractured_rock,516,0.84,39.4,69.3
446.6,8.8,429,0.22,agroforestry,clay,139,0.08,38.8,32.6
471.9,10.8,1322,0.63,settlement,weathered_granite,1149,0.44,13.2,55.7
403.5,10.9,822,0.69,agriculture,weathered_granite,1324,0.39,21.2,48.6
360.0,4.2,1045,0.64,agriculture,shale,434,0.43,18.8,59.0
254.2,6.8,699,0.44,agriculture,sandstone,1052,0.68,44.3,44.1
355.2,7.2,1225,0.64,agroforestry,fractured_rock,1357,0.26,10.1,63.6
562.3,21.8,839,0.43,agroforestry,clay,1047,0.42,24.9,29.2
1036.4,30.1,1982,0.72,agriculture,weathered_granite,36,0.24,14.5,59.7
844.1,17.1,1894,0.88,settlement,shale,675,0.49,9.0,70.0
340.6,22.6,1238,0.61,barren,sandstone,1105,0.41,7.0,44.5
801.3,15.1,2542,0.75,agroforestry,weathered_granite,957,0.63,16.8,70.5
1239.5,31.6,2030,0.88,barren,weathered_granite,749,0.66,12.3,62.7
427.2,3.4,389,0.31,grassland,clay,158,0.36,46.7,37.4
586.7,18.9,656,0.3,agriculture,clay,1175,0.39,20.5,31.8
573.4,11.8,1207,0.34,grassland,weathered_granite,229,0.59,20.5,56.2
508.7,7.0,1181,0.76,barren,weathered_granite,119,0.47,10.3,63.5
942.5,24.7,2074,0.89,forest,fractured_rock,986,0.08,16.8,62.2
372.4,19.5,682,0.68,agroforestry,clay,1251,0.28,18.1,42.8
413.7,11.1,787,0.67,forest,clay,1005,0.82,21.4,56.5
909.1,34.5,1848,0.87,forest,fractured_rock,978,0.15,14.6,65.7
597.7,18.0,775,0.59,grassland,clay,1222,0.07,21.4,27.7
705.5,25.5,1152,0.52,forest,sandstone,1231,0.69,5.7,56.0
316.1,2.4,426,0.2,barren,shale,912,0.38,40.5,32.9
711.5,32.4,2577,0.88,settlement,fractured_rock,1192,0.45,3.4,57.0
988.7,29.4,2018,0.79,agriculture,weathered_granite,520,0.95,16.7,64.9
1368.4,22.5,2526,0.78,settlement,shale,1086,0.8,17.7,58.4
996.9,28.8,1824,0.85,forest,clay,416,0.8,9.5,63.9
571.0,19.7,1002,0.79,forest,weathered_granite,1057,0.09,18.6,62.3
1088.2,8.2,2838,0.91,forest,fractured_rock,396,0.12,6.5,80.2
540.7,13.3,860,0.68,grassland,sandstone,834,0.85,24.4,48.9
630.3,23.1,1067,0.83,forest,shale,422,0.71,12.4,61.1
442.8,17.7,1255,0.52,agriculture,sandstone,1035,0.26,15.5,51.0
531.3,11.7,1303,0.47,forest,sandstone,1344,0.25,21.0,64.0
639.3,12.3,777,0.29,forest,clay,723,0.66,37.6,39.6
921.7,26.1,2611,0.75,forest,sandstone,355,0.36,4.6,70.0
437.2,13.3,1302,0.33,agroforestry,sandstone,349,0.78,31.1,61.6
626.9,21.4,1967,0.73,agroforestry,weathered_granite,1085,0.18,9.4,55.9
1356.4,23.4,2367,0.74,barren,fractured_rock,400,0.9,5.5,71.9
362.8,13.8,711,0.37,barren,shale,418,0.11,16.7,37.3
372.2,15.6,970,0.31,agriculture,shale,664,0.08,29.5,33.6
1251.7,19.9,2484,0.87,settlement,fractured_rock,1255,0.33,7.5,56.4
1000.3,18.5,2373,0.84,forest,sandstone,156,0.59,9.9,70.4
439.2,10.2,1047,0.55,agriculture,weathered_granite,373,0.77,13.1,57.4
415.9,6.5,680,0.58,settlement,sandstone,1044,0.86,13.0,43.6
1073.0,16.5,2667,0.75,forest,sandstone,1083,0.62,14.2,75.5
480.4,12.0,671,0.47,agroforestry,fractured_rock,559,0.44,28.0,48.3
494.0,22.7,900,0.49,agroforestry,clay,845,0.13,24.1,35.5
723.8,10.7,2810,0.76,forest,sandstone,1116,0.89,17.0,77.4
627.6,19.4,989,0.79,agriculture,sandstone,945,0.14,23.3,41.0
354.7,22.7,1124,0.7,forest,sandstone,1379,0.32,25.7,56.6
277.2,11.7,579,0.17,barren,shale,1482,0.5,28.8,27.6
555.3,19.4,856,0.66,agroforestry,clay,378,0.07,32.7,43.8
547.0,13.6,765,0.43,agroforestry,clay,994,0.8,32.3,48.8
254.2,10.6,414,0.29,barren,clay,1346,0.59,20.6,32.2
718.2,9.5,1113,0.25,agriculture,weathered_granite,477,0.75,18.6,58.5
1022.0,19.7,2352,0.7,agriculture,shale,287,0.68,15.9,67.7
638.4,16.9,2291,0.88,forest,fractured_rock,411,0.07,7.8,71.2
1151.0,14.3,2365,0.91,agroforestry,weathered_granite,526,0.78,15.8,76.7
270.1,4.8,690,0.12,agriculture,clay,577,0.25,26.7,28.2
437.2,12.0,793,0.54,barren,shale,355,0.3,30.0,45.6
748.5,14.2,2530,0.92,forest,fractured_rock,883,0.3,12.0,74.1
554.6,12.3,1382,0.63,forest,fractured_rock,881,0.88,18.1,70.3
471.9,4.8,952,0.38,agroforestry,sandstone,1308,0.45,27.7,50.4
375.1,23.5,1139,0.36,agriculture,sandstone,873,0.57,26.0,47.1
621.2,14.0,804,0.38,forest,shale,211,0.06,12.5,40.3
964.9,30.6,1628,0.71,agriculture,fractured_rock,740,0.74,4.1,65.0
451.9,12.5,1003,0.28,agroforestry,shale,292,0.89,33.6,50.1
763.4,15.4,2334,0.68,forest,shale,444,0.26,7.9,59.9
832.8,22.1,2251,0.94,agroforestry,fractured_rock,483,0.84,15.3,75.9
712.2,7.5,1084,0.82,forest,fractured_rock,1262,0.81,31.7,65.8
615.3,7.2,1043,0.38,grassland,clay,401,0.64,25.0,46.6
728.9,32.3,1751,0.85,forest,fractured_rock,812,0.12,7.1,72.1
890.0,18.9,2053,0.93,settlement,sandstone,516,0.87,7.7,65.2
782.8,26.7,1366,0.67,forest,shale,1163,0.8,30.5,59.6
447.6,19.4,882,0.58,forest,weathered_granite,1111,0.85,19.6,51.8
592.4,20.2,654,0.39,agriculture,clay,1043,0.42,28.0,27.1
989.4,16.7,1855,0.84,agriculture,fractured_rock,607,0.7,18.9,81.6
425.0,13.2,713,0.48,forest,fractured_rock,1065,0.71,33.3,56.7
394.6,3.6,406,0.39,agriculture,sandstone,1128,0.48,35.2,43.8
656.4,20.6,1042,0.51,agriculture,sandstone,590,0.1,24.0,48.6
758.1,29.0,1720,0.74,forest,weathered_granite,816,0.94,19.7,76.0
602.0,18.0,1111,0.74,forest,shale,966,0.13,12.5,44.4
648.5,27.7,2311,0.85,agroforestry,shale,126,0.6,9.6,66.7
622.2,25.8,2381,0.73,forest,weathered_granite,761,0.54,7.1,71.1
367.8,8.0,405,0.21,barren,shale,227,0.21,35.9,37.2
1382.1,33.7,2284,0.64,settlement,weathered_granite,1395,0.42,18.5,44.6
467.5,11.4,1164,0.49,settlement,shale,1272,0.52,16.5,53.0
607.1,18.2,1251,0.32,agriculture,fractured_rock,1007,0.33,23.1,48.5
269.7,4.8,430,0.23,grassland,clay,219,0.74,21.3,48.3
517.5,18.4,873,0.51,barren,clay,367,0.81,34.6,36.4
1345.8,23.1,2335,0.76,forest,weathered_granite,227,0.22,14.8,68.2
797.7,28.8,1978,0.84,settlement,weathered_granite,123,0.66,8.9,72.0
300.2,18.0,705,0.61,agriculture,shale,656,0.1,37.2,37.0
643.1,10.7,2315,0.71,forest,fractured_rock,1304,0.88,10.4,74.1
732.0,34.8,2037,0.86,grassland,fractured_rock,1123,0.2,14.1,61.5
636.2,30.5,2148,0.81,settlement,shale,1005,0.29,15.6,47.3
568.2,19.2,1265,0.44,grassland,fractured_rock,1366,0.5,15.7,50.6
1026.0,15.1,2875,0.81,agriculture,weathered_granite,390,0.16,7.2,67.9
933.9,14.0,2957,0.89,forest,weathered_granite,509,0.38,12.6,71.7
384.2,5.1,505,0.19,barren,fractured_rock,700,0.66,23.6,36.5
439.1,14.9,820,0.35,barren,shale,637,0.08,28.9,30.1
1072.4,8.8,2434,0.65,forest,shale,790,0.13,11.4,70.1
915.4,26.1,1831,0.8,agroforestry,clay,346,0.17,17.7,57.4
406.1,9.1,542,0.26,forest,sandstone,1151,0.84,24.3,48.0
1363.2,27.7,2579,0.92,forest,weathered_granite,1374,0.71,19.4,68.7
685.3,14.4,2063,0.91,forest,sandstone,681,0.49,15.4,75.1
417.4,5.6,535,0.3,settlement,clay,1461,0.73,37.5,47.3
605.9,12.0,901,0.64,forest,fractured_rock,1378,0.41,23.6,58.8
925.7,12.0,2321,0.74,grassland,shale,200,0.13,9.8,68.0
360.9,19.8,939,0.39,grassland,fractured_rock,1230,0.45,10.8,39.4
612.3,14.6,1337,0.26,agriculture,shale,1289,0.72,22.8,54.1
584.9,12.4,885,0.7,forest,clay,348,0.7,17.6,56.8
1197.7,17.1,2326,0.68,agroforestry,shale,248,0.7,18.5,72.3
325.0,9.6,500,0.21,agroforestry,fractured_rock,986,0.05,40.5,37.3
253.3,7.5,636,0.16,barren,weathered_granite,308,0.88,44.0,36.8
603.7,13.3,1447,0.89,forest,shale,641,0.2,25.2,63.4
1074.6,25.9,2509,0.95,agroforestry,weathered_granite,152,0.1,17.9,76.1
619.7,27.4,2025,0.86,agriculture,weathered_granite,391,0.11,11.7,62.9
651.1,21.9,1641,0.78,forest,fractured_rock,603,0.2,19.4,77.9
687.5,12.4,739,0.64,forest,shale,687,0.75,36.6,59.6
836.4,26.2,2314,0.67,forest,weathered_granite,244,0.19,18.0,62.1
700.3,13.2,1114,0.55,forest,weathered_granite,1142,0.84,29.9,50.8
279.4,9.7,599,0.11,barren,clay,895,0.51,46.1,26.2
743.5,13.7,2696,0.93,forest,sandstone,1063,0.39,16.2,59.3
414.0,3.2,386,0.35,barren,clay,404,0.55,20.3,31.6
668.0,13.9,2467,0.93,agroforestry,sandstone,303,0.36,16.3,71.1
389.5,14.8,736,0.64,agroforestry,sandstone,1173,0.07,27.1,44.0
410.9,5.7,707,0.59,agriculture,shale,1044,0.31,31.3,44.4
474.0,15.4,1061,0.62,agriculture,sandstone,979,0.24,28.2,51.4
1113.6,32.9,2488,0.65,agroforestry,sandstone,1292,0.41,13.6,50.6
572.3,6.8,1041,0.33,agroforestry,clay,346,0.66,19.7,45.8
1174.6,15.5,1730,0.72,forest,fractured_rock,939,0.07,17.8,71.4
474.8,9.0,913,0.64,barren,fractured_rock,65,0.64,30.0,62.0
859.3,29.8,2508,0.86,agriculture,sandstone,1138,0.15,9.8,58.8
428.9,8.3,643,0.12,agriculture,fractured_rock,1328,0.94,31.9,55.3
832.9,20.8,2592,0.88,barren,clay,361,0.87,3.0,55.6
914.3,29.1,1959,0.8,forest,weathered_granite,723,0.47,14.9,64.2
510.7,12.8,966,0.54,agroforestry,sandstone,198,0.28,9.5,56.4
977.1,24.0,1984,0.78,forest,sandstone,943,0.44,8.9,62.6
361.3,11.4,554,0.34,settlement,clay,928,0.8,48.0,42.3
348.1,7.1,519,0.39,barren,clay,1494,0.53,24.3,39.2
263.6,6.8,416,0.43,settlement,clay,1267,0.22,48.3,30.2
501.7,6.8,765,0.52,agriculture,clay,599,0.56,20.7,47.7
619.2,5.1,895,0.6,agriculture,clay,1405,0.25,29.8,40.7
767.8,18.3,2198,0.84,barren,sandstone,81,0.58,17.2,66.4
645.9,14.7,949,0.44,agriculture,weathered_granite,176,0.57,7.1,63.6
530.0,5.7,1348,0.64,forest,fractured_rock,928,0.29,24.0,63.7
768.5,12.7,1254,0.61,settlement,weathered_granite,748,0.77,14.8,56.8
432.7,5.8,497,0.14,barren,clay,968,0.55,36.6,34.3
362.4,11.3,1081,0.38,agroforestry,weathered_granite,586,0.67,18.1,58.7
341.5,4.0,531,0.18,barren,sandstone,790,0.35,26.2,46.6
408.4,4.1,765,0.6,agriculture,sandstone,25,0.18,19.5,50.9
781.8,24.4,2240,0.75,forest,fractured_rock,1151,0.08,3.0,66.4
612.3,7.2,952,0.5,agriculture,weathered_granite,406,0.08,29.9,55.4
471.2,19.4,1000,0.59,agroforestry,fractured_rock,1194,0.32,9.0,53.9
1095.2,33.5,1915,0.78,forest,fractured_rock,1200,0.34,6.4,60.8
427.6,3.9,532,0.19,grassland,sandstone,1334,0.95,32.8,44.2
662.2,11.8,950,0.64,agriculture,shale,568,0.62,34.0,50.5
1306.0,29.5,1623,0.76,forest,fractured_rock,1117,0.35,5.0,66.8
297.9,11.0,620,0.32,barren,sandstone,583,0.21,24.0,38.0
560.9,17.7,934,0.47,agroforestry,sandstone,1173,0.1,22.4,40.4
996.7,20.5,2789,0.8,forest,sandstone,965,0.79,8.9,70.4
262.7,10.1,608,0.34,barren,shale,1439,0.58,37.4,28.0
831.3,28.4,2419,0.81,forest,weathered_granite,1142,0.19,10.3,66.5
615.9,15.7,901,0.35,agriculture,weathered_granite,1123,0.55,21.8,41.5
311.4,5.7,611,0.17,agriculture,clay,755,0.27,47.0,39.2
411.2,5.4,924,0.58,forest,shale,665,0.22,24.6,52.2
624.7,12.2,1302,0.58,grassland,shale,39,0.51,16.9,58.6
910.8,31.5,1923,0.89,forest,fractured_rock,349,0.46,13.6,71.9
918.8,20.3,2924,0.81,agriculture,weathered_granite,749,0.43,4.2,66.6
1049.3,26.0,1949,0.9,forest,sandstone,1361,0.59,8.7,64.0
732.6,6.7,1020,0.33,agriculture,weathered_granite,100,0.49,38.1,54.1
452.3,12.6,968,0.57,agriculture,fractured_rock,86,0.22,18.4,59.6
480.8,17.2,1015,0.55,grassland,fractured_rock,1162,0.57,15.1,52.1
718.7,18.4,2011,0.74,agroforestry,weathered_granite,451,0.69,6.8,76.1
333.5,5.2,966,0.56,agriculture,sandstone,27,0.32,33.8,58.2
661.2,11.1,766,0.52,agriculture,shale,274,0.86,16.5,45.5
836.8,11.5,1081,0.65,agriculture,sandstone,1476,0.73,37.0,57.4
394.8,6.4,588,0.37,agroforestry,shale,1215,0.41,21.3,42.0
565.1,4.4,1125,0.56,forest,sandstone,398,0.67,36.5,63.9
491.6,6.1,955,0.44,settlement,fractured_rock,1466,0.77,11.0,52.3
493.2,26.6,1159,0.66,agriculture,shale,32,0.18,18.6,50.1
992.6,30.5,2230,0.72,settlement,clay,1224,0.42,13.5,44.4
520.6,15.5,1266,0.78,forest,sandstone,1208,0.51,17.0,61.7
517.1,11.2,981,0.42,agroforestry,sandstone,1262,0.35,10.6,45.2
587.1,11.1,1031,0.41,grassland,fractured_rock,208,0.59,26.8,54.5
862.0,25.5,2748,0.78,forest,fractured_rock,1048,0.61,12.7,75.7
974.0,29.8,2713,0.69,agroforestry,weathered_granite,559,0.73,15.3,65.0
399.6,5.2,676,0.13,agriculture,clay,1288,0.59,22.5,29.5
913.9,23.1,1988,0.94,forest,fractured_rock,1237,0.26,19.6,77.5
975.5,17.1,1804,0.91,forest,sandstone,309,0.15,12.2,65.7
830.7,21.0,1323,0.43,settlement,clay,674,0.31,15.8,45.0
851.4,18.9,2430,0.94,agroforestry,shale,1166,0.84,5.5,80.3
631.6,16.0,1213,0.31,agriculture,weathered_granite,309,0.51,24.7,63.9
411.7,11.1,723,0.24,agriculture,weathered_granite,582,0.66,32.2,45.7
515.5,10.8,1345,0.83,forest,fractured_rock,647,0.21,6.2,76.1
822.1,24.1,1406,0.3,barren,weathered_granite,559,0.74,11.9,51.9
578.1,22.9,1102,0.77,agroforestry,clay,749,0.23,13.7,48.0
775.1,24.4,1229,0.81,agroforestry,fractured_rock,853,0.44,32.8,60.1
1006.2,16.9,2154,0.87,forest,clay,74,0.39,5.6,73.7
1177.4,23.1,1876,0.69,agriculture,weathered_granite,1230,0.58,19.0,55.3
522.7,13.5,860,0.69,agroforestry,weathered_granite,1322,0.16,26.4,42.4
357.4,14.1,971,0.28,settlement,weathered_granite,656,0.25,22.8,29.2
617.9,5.5,997,0.41,settlement,clay,456,0.76,26.8,40.7
486.0,24.5,1011,0.29,agriculture,fractured_rock,1301,0.94,17.6,46.4
607.1,13.2,740,0.2,agriculture,shale,851,0.43,21.7,42.7
1208.0,32.0,1665,0.7,forest,fractured_rock,378,0.19,14.9,72.9
490.0,19.4,1312,0.59,agriculture,clay,670,0.46,13.1,59.7
637.0,13.1,2415,0.74,forest,fractured_rock,1119,0.23,13.8,63.1
456.8,5.4,926,0.33,agriculture,shale,855,0.08,25.0,48.8
422.1,13.4,680,0.59,forest,weathered_granite,440,0.95,15.7,59.2
324.1,16.4,927,0.59,forest,fractured_rock,815,0.68,9.7,61.5
535.1,13.3,1002,0.6,agroforestry,fractured_rock,605,0.52,24.7,63.7
777.2,12.6,1848,0.65,forest,fractured_rock,256,0.34,13.7,71.7
781.2,12.6,1412,0.31,forest,sandstone,807,0.15,31.5,62.4
639.1,9.0,1167,0.33,forest,shale,1184,0.82,11.0,51.4
397.5,22.8,1177,0.71,agroforestry,weathered_granite,1069,0.43,9.3,57.0
887.4,26.5,2077,0.91,agroforestry,clay,1082,0.45,11.2,69.4
1269.0,30.3,2330,0.67,forest,fractured_rock,1167,0.74,17.7,68.1
404.2,7.5,653,0.12,barren,shale,21,0.83,31.5,43.3
504.9,15.8,1275,0.38,agroforestry,weathered_granite,635,0.28,18.8,50.4
612.7,5.7,1212,0.58,forest,shale,624,0.39,7.8,62.0
750.0,17.7,1392,0.62,forest,clay,925,0.39,39.6,51.4
917.8,31.4,2322,0.73,barren,fractured_rock,1436,0.51,17.6,55.9
544.2,7.8,929,0.45,agriculture,shale,112,0.54,26.1,64.5
638.2,22.1,2432,0.84,agroforestry,shale,1053,0.47,13.7,70.5
628.6,7.7,1008,0.28,settlement,sandstone,1342,0.29,15.8,41.2
454.1,11.5,684,0.48,forest,weathered_granite,1407,0.07,28.2,40.9
445.5,3.1,1043,0.4,agriculture,sandstone,754,0.57,24.9,51.8
659.4,21.9,1649,0.78,forest,fractured_rock,31,0.43,14.0,85.8
535.2,11.0,756,0.6,forest,fractured_rock,1190,0.42,33.7,47.9
